level_0	hhid07	pid07	panel	tk01	tk02	tk03	tk04	tk01a	tk01b	tk01c	tk01d	tk25a9x	age	marstat	sex	link	hhsize	nonfood	food	total	kabid	nmkab2014	pce	sc05	sc21x	ar02b_07	hhid00	pid00	dl06	dl05a	dl07a	dl30	dl42	index	dl2type	dl16j	dl10	dl16c2	dl16e	dl11d	dl11e	dl11f	sw01	sw03b	kk01	kk02a	kk02c	nonfood00	food00	total00	pce00	change
1412	0430300	6	3	1				1	3	1	3		17	1	3	043030006	5	47948.457	249177.69	297126.15	1602	OGAN KOMERING ILIR	297126.14	2	96	3	0430300	6	2	6	3	3		3124	1	60	2	7	37.77			2003	1	1	3	2	2	44708.781	91765.61	136474.39	136474.4	160651.76
1414	0430300	7	3	1				1	3	3	3		15	1	1	043030007	5	47948.457	249177.69	297126.15	1602	OGAN KOMERING ILIR	297126.14	2	96	3	0430300	7	2	8	3	3		3125	1	60	2			3	B	2007	2	2	2	0	2	44708.781	91765.61	136474.39	136474.4	160651.76
1416	0430400	5	3	1				1	3	3	3		17	1	1	043040005	4	141769.46	166412.34	308181.8	1602	OGAN KOMERING ILIR	308181.79	2	96	3	0430400	5	2	6	3	3		3127	1	30	2			3	D	2001	2	2	2	0	3	51804.595	98484.838	150289.43	150289.44	157892.37
1418	0430400	6	3										15	1	1		4	141769.46	166412.34	308181.8	1602	OGAN KOMERING ILIR	308181.79	2	96	3	0430400	6																				51804.595	98484.838	150289.43	150289.44	157892.37
1421	0430441	6	3	4	3	3	3	3	3	1	3		20	2	3	043040004	6	241995.88	273955.86	515951.74	1602	OGAN KOMERING ILIR	470915.29	2	96	5	0430400	4	2	6	3	3		3128	1	30	2			3	D	1999	4	2	2	0	3	51804.595	98484.838	150289.43	150289.44	365662.31
1423	0430600	6	3	4	3	3	3	3	3	1	3		18	2	3	043060006	5	115259.41	325881.66	441141.07	1602	OGAN KOMERING ILIR	364843.99	2	96	3	0430600	6	2	7	3	3		3130	1	20	2	9	60.12			2003	3	2	3	0	4	97829.165	287506.65	385335.8	355653.04	55805.267
1425	0430700	5	3	4	3	3	3	3	3	1	3		15	1	3	043070005	7	130628.42	207818.64	338447.06	1602	OGAN KOMERING ILIR	338447.04	2	96	3	0430700	5	2	8	3	3		3136	1	60	2			3	EK	2004	6	3	1	0	1	39684.12	114827	154511.13	154511.13	183935.93
1428	0430741	9	3	4	3	3	3	3	3	1	3		18	2	3	043070004	10	22168.532	71634.453	93802.984	1602	OGAN KOMERING ILIR	93802.981	2	96	5	0430700	4	2	9	3	3		3137	1	60	2			3	DK	2002	1	1	2	2	3	39684.12	114827	154511.13	154511.13	-60708.143
1430	0430800	3	3	1				1	3	3	3		19	1	1	043080003	5	91234.318	177543.24	268777.56	1602	OGAN KOMERING ILIR	268777.56	2	96	3	0430800	3	2	6	3	3		3139	1	20	2			3	K	1998	2	2	2	3	4	112473.42	151254.88	263728.3	263728.28	5049.2565
1432	0431000	4	3	95	3	3	3	3	3	3	3		18	1	1	043100004	7	27733.372	98792.571	126525.94	1602	OGAN KOMERING ILIR	124951.57	2	96	3	0431000	4	2	8	3	3		3142	1	30	2			3	B	2006	1	1	3	0	3	45922.885	84251.027	130173.91	130173.92	-3647.9693
1434	0431100	4	3	4	3	3	3	3	3	1	3		17	1	3	043110004	4	107970.92	231916.55	339887.47	1602	OGAN KOMERING ILIR	339887.46	2	96	3	0431100	4	2	7	3	3		3145	1	15	2			3	K	2002	3	2	2	2	1	56020.734	236565.2	292585.93	292585.95	47301.535
1436	0431200	3	3	4	3	3	3	3	3	1	3		17	2	3	043120003	8	62004.598	197201.38	259205.98	1602	OGAN KOMERING ILIR	252318.04	2	96	3	0431200	3	2	8	3	3		3146	1	15	2			3	K		3	2	2	0	2	63559.568	145615.5	209175.06	204449.47	50030.924
1438	0431200	9	3	1				1	3	3	3		20	2	1	043120009	8	62004.598	197201.38	259205.98	1602	OGAN KOMERING ILIR	252318.04	2	96	5	0431200		2	6	3	3		3147	1	30	2	5				2000	2	2	2	2	2	63559.568	145615.5	209175.06	204449.47	50030.924
1440	0431400	4	3	1				1	3	3	3		19	1	1	043140004	4	57365.846	279374.36	336740.21	1602	OGAN KOMERING ILIR	332925.36	2	12	3	0431400	4	2	7	3	3		3150	1	14	2	5				2001	1	2	2	0	4	61738.941	115022.41	176761.34	176761.34	159978.87
1442	0431700	5	3	95	3	3	3	3	3	1	3		16	1	3	043170005	8	28505.426	164621.48	193126.91	1602	OGAN KOMERING ILIR	193126.91	2	12	3	0431700	5	2	6	3	3		3154	1	60	2			3	C	2002	3	1	2	0	3	35707.956	66520.463	102228.42	102228.42	90898.485
1444	0431700	6	3	1				1	3	1	3		15	1	3	043170006	8	28505.426	164621.48	193126.91	1602	OGAN KOMERING ILIR	193126.91	2	12	3	0431700	6	2	7	3	3		3155	1	30	2	7	45.08			2006	2	1	2	2	3	35707.956	66520.463	102228.42	102228.42	90898.485
1446	0431900	6	3	1				1	3	1	3		19	1	1	043190006	4	15259.41	88923.154	104182.56	1602	OGAN KOMERING ILIR	104182.57	2	96	3	0431900	6	2	4	3	3		3156	1	45	2			3	C	1996	1	1	3	0	3	43121.272	186122.93	229244.21	228690.42	-125061.65
1448	0432000	17	3	3	3	3	3	3	1	3	3		23	1	3	043200017	22	246987.61	343144.05	590131.67	1602	OGAN KOMERING ILIR	557146.65	2	96	3	0432000	17	61	6	1	1	3	3171	4	15	61			6			3	2	2	0	2	161549.71	149455.06	311004.76	311004.78	279126.9
